hydrogen_price_cny_per_kg,compute_price_cny_per_mwh_it,best_flexible_candidate_id,strategy,case_id,scenario_weight,full_project_capex_cny,common_infrastructure_annual_cost_cny,flexible_asset_annual_cost_cny,electrolyzer_stack_replacement_cny,annual_operating_margin_cny,gross_revenue_cny,best_flexible_full_project_net_annual_value_cny,renewable_generation_mwh,renewable_utilization_rate,curtailment_mwh,export_land_mwh,spot_compute_service_mwh_it,spot_compute_service_rate,hydrogen_sales_kg,hydrogen_demand_service_rate,eens_mwh,max_offshore_balance_residual_mw,max_land_balance_residual_mw,battery_power_mw,battery_energy_mwh,electrolyzer_power_mw,hydrogen_storage_kg,fuel_cell_power_mw,compute_it_capacity_mw,hydrogen_export_capacity_kg_per_h,direct_full_project_net_annual_value_cny,incremental_net_value_vs_direct_cny_per_year,selected_overall_candidate_id
20,1000,hydrogen_led,hydrogen_led,contract_c1000_h20,1,3.13557194e+10,3103409895,328558685.1,25644080.11,1080495550,1178210399,-2351473030,3300000,0.999832275,553.4925446,1734322.233,0,0,24326400.11,0.2314155261,0,0,2.842170943e-14,0,0,308.7479476,36089.98728,0,0,4025.552976,-2062362162,-289110868,direct
20,1250,hydrogen_led,hydrogen_led,contract_c1250_h20,1,3.13557194e+10,3103409895,328558685.1,25644080.11,1080495550,1178210399,-2351473030,3300000,0.999832275,553.4925446,1734322.233,0,0,24326400.11,0.2314155261,0,0,2.842170943e-14,0,0,308.7479476,36089.98728,0,0,4025.552976,-2062362162,-289110868,direct
20,1500,compute_led,compute_led,contract_c1500_h20,1,3.75420455e+10,3103409895,1300967657,0,2293084442,2325621030,-2111293110,3300000,0.9832896833,55144.0452,1731318.261,1175460.235,0.9128228459,0,0,0,2.842170943e-14,2.842170943e-14,0,0,0,0,0,136.5,0,-2062362162,-48930948,direct
20,1750,compute_led,compute_led,contract_c1750_h20,1,3.75420455e+10,3103409895,1300967657,0,2586949500,2619486089,-1817428052,3300000,0.9832896833,55144.0452,1731318.261,1175460.235,0.9128228459,0,0,0,2.842170943e-14,2.842170943e-14,0,0,0,0,0,136.5,0,-2062362162,244934110,compute_led
20,2000,compute_led,compute_led,contract_c2000_h20,1,3.75420455e+10,3103409895,1300967657,0,2880814559,2913351147,-1523562993,3300000,0.9832896833,55144.0452,1731318.261,1175460.235,0.9128228459,0,0,0,2.842170943e-14,2.842170943e-14,0,0,0,0,0,136.5,0,-2062362162,538799169,compute_led
20,2250,compute_led,compute_led,contract_c2250_h20,1,3.75420455e+10,3103409895,1300967657,0,3174679618,3207216206,-1229697934,3300000,0.9832896833,55144.0452,1731318.261,1175460.235,0.9128228459,0,0,0,2.842170943e-14,2.842170943e-14,0,0,0,0,0,136.5,0,-2062362162,832664228,compute_led
20,2500,compute_led,compute_led,contract_c2500_h20,1,3.75420455e+10,3103409895,1300967657,0,3468544677,3501081265,-935832875.2,3300000,0.9832896833,55144.0452,1731318.261,1175460.235,0.9128228459,0,0,0,2.842170943e-14,2.842170943e-14,0,0,0,0,0,136.5,0,-2062362162,1126529287,compute_led
25,1000,hydrogen_led,hydrogen_led,contract_c1000_h25,1,3.13557194e+10,3103409895,328558685.1,36471613.32,1227916590,1360108359,-2204051991,3300000,0.999832275,553.4925446,1172855.134,0,0,34597577.86,0.3291245991,0,0,2.842170943e-14,0,0,308.7479476,36089.98728,0,0,4025.552976,-2062362162,-141689829,direct
25,1250,hydrogen_led,hydrogen_led,contract_c1250_h25,1,3.13557194e+10,3103409895,328558685.1,36471613.32,1227916590,1360108359,-2204051991,3300000,0.999832275,553.4925446,1172855.134,0,0,34597577.86,0.3291245991,0,0,2.842170943e-14,0,0,308.7479476,36089.98728,0,0,4025.552976,-2062362162,-141689829,direct
25,1500,compute_led,compute_led,contract_c1500_h25,1,3.75420455e+10,3103409895,1300967657,0,2293084442,2325621030,-2111293110,3300000,0.9832896833,55144.0452,1731318.261,1175460.235,0.9128228459,0,0,0,2.842170943e-14,2.842170943e-14,0,0,0,0,0,136.5,0,-2062362162,-48930948,direct
25,1750,compute_led,compute_led,contract_c1750_h25,1,3.75420455e+10,3103409895,1300967657,0,2586949500,2619486089,-1817428052,3300000,0.9832896833,55144.0452,1731318.261,1175460.235,0.9128228459,0,0,0,2.842170943e-14,2.842170943e-14,0,0,0,0,0,136.5,0,-2062362162,244934110,compute_led
25,2000,compute_led,compute_led,contract_c2000_h25,1,3.75420455e+10,3103409895,1300967657,0,2880814559,2913351147,-1523562993,3300000,0.9832896833,55144.0452,1731318.261,1175460.235,0.9128228459,0,0,0,2.842170943e-14,2.842170943e-14,0,0,0,0,0,136.5,0,-2062362162,538799169,compute_led
25,2250,compute_led,compute_led,contract_c2250_h25,1,3.75420455e+10,3103409895,1300967657,0,3174679618,3207216206,-1229697934,3300000,0.9832896833,55144.0452,1731318.261,1175460.235,0.9128228459,0,0,0,2.842170943e-14,2.842170943e-14,0,0,0,0,0,136.5,0,-2062362162,832664228,compute_led
25,2500,compute_led,compute_led,contract_c2500_h25,1,3.75420455e+10,3103409895,1300967657,0,3468544677,3501081265,-935832875.2,3300000,0.9832896833,55144.0452,1731318.261,1175460.235,0.9128228459,0,0,0,2.842170943e-14,2.842170943e-14,0,0,0,0,0,136.5,0,-2062362162,1126529287,compute_led
30,1000,hydrogen_led,hydrogen_led,contract_c1000_h30,1,3.13557194e+10,3103409895,328558685.1,36471613.32,1400904479,1533096248,-2031064101,3300000,0.999832275,553.4925446,1172855.134,0,0,34597577.86,0.3291245991,0,0,2.842170943e-14,0,0,308.7479476,36089.98728,0,0,4025.552976,-2062362162,31298061,hydrogen_led
30,1250,hydrogen_led,hydrogen_led,contract_c1250_h30,1,3.13557194e+10,3103409895,328558685.1,36471613.32,1400904479,1533096248,-2031064101,3300000,0.999832275,553.4925446,1172855.134,0,0,34597577.86,0.3291245991,0,0,2.842170943e-14,0,0,308.7479476,36089.98728,0,0,4025.552976,-2062362162,31298061,hydrogen_led
30,1500,hydrogen_led,hydrogen_led,contract_c1500_h30,1,3.13557194e+10,3103409895,328558685.1,36471613.32,1400904479,1533096248,-2031064101,3300000,0.999832275,553.4925446,1172855.134,0,0,34597577.86,0.3291245991,0,0,2.842170943e-14,0,0,308.7479476,36089.98728,0,0,4025.552976,-2062362162,31298061,hydrogen_led
30,1750,integrated_contract,integrated_contract,contract_c1750_h30,1,3.895245036e+10,3103409895,1460670894,16637298.69,2777667873,2863453445,-1786412917,3300000,0.9998150479,610.3417884,916324.5419,1175460.235,0.9128228459,15782417.73,0.1501371549,0,5.684341886e-14,2.842170943e-14,0,0,152.9901622,26467.23137,0,136.5,1877.120574,-2062362162,275949245,integrated_contract
30,2000,integrated_contract,integrated_contract,contract_c2000_h30,1,3.895245036e+10,3103409895,1460670894,16637298.69,3071532931,3157318504,-1492547858,3300000,0.9998150479,610.3417884,916324.5419,1175460.235,0.9128228459,15782417.73,0.1501371549,0,5.684341886e-14,2.842170943e-14,0,0,152.9901622,26467.23137,0,136.5,1877.120574,-2062362162,569814304,integrated_contract
30,2250,integrated_contract,integrated_contract,contract_c2250_h30,1,3.895245036e+10,3103409895,1460670894,16637298.69,3365397990,3451183562,-1198682800,3300000,0.9998150479,610.3417884,916324.5419,1175460.235,0.9128228459,15782417.73,0.1501371549,0,5.684341886e-14,2.842170943e-14,0,0,152.9901622,26467.23137,0,136.5,1877.120574,-2062362162,863679362,integrated_contract
30,2500,integrated_contract,integrated_contract,contract_c2500_h30,1,3.895245036e+10,3103409895,1460670894,16637298.69,3659263049,3745048621,-904817740.7,3300000,0.9998150479,610.3417884,916324.5419,1175460.235,0.9128228459,15782417.73,0.1501371549,0,5.684341886e-14,2.842170943e-14,0,0,152.9901622,26467.23137,0,136.5,1877.120574,-2062362162,1157544421,integrated_contract
35,1000,hydrogen_led,hydrogen_led,contract_c1000_h35,1,3.13557194e+10,3103409895,328558685.1,36471613.32,1573892368,1706084137,-1858076212,3300000,0.999832275,553.4925446,1172855.134,0,0,34597577.86,0.3291245991,0,0,2.842170943e-14,0,0,308.7479476,36089.98728,0,0,4025.552976,-2062362162,204285950,hydrogen_led
35,1250,hydrogen_led,hydrogen_led,contract_c1250_h35,1,3.13557194e+10,3103409895,328558685.1,36471613.32,1573892368,1706084137,-1858076212,3300000,0.999832275,553.4925446,1172855.134,0,0,34597577.86,0.3291245991,0,0,2.842170943e-14,0,0,308.7479476,36089.98728,0,0,4025.552976,-2062362162,204285950,hydrogen_led
35,1500,hydrogen_led,hydrogen_led,contract_c1500_h35,1,3.13557194e+10,3103409895,328558685.1,36471613.32,1573892368,1706084137,-1858076212,3300000,0.999832275,553.4925446,1172855.134,0,0,34597577.86,0.3291245991,0,0,2.842170943e-14,0,0,308.7479476,36089.98728,0,0,4025.552976,-2062362162,204285950,hydrogen_led
35,1750,integrated_contract,integrated_contract,contract_c1750_h35,1,3.895245036e+10,3103409895,1460670894,16637298.69,2856579961,2942365533,-1707500828,3300000,0.9998150479,610.3417884,916324.5419,1175460.235,0.9128228459,15782417.73,0.1501371549,0,5.684341886e-14,2.842170943e-14,0,0,152.9901622,26467.23137,0,136.5,1877.120574,-2062362162,354861334,integrated_contract
35,2000,integrated_contract,integrated_contract,contract_c2000_h35,1,3.895245036e+10,3103409895,1460670894,16637298.69,3150445020,3236230592,-1413635770,3300000,0.9998150479,610.3417884,916324.5419,1175460.235,0.9128228459,15782417.73,0.1501371549,0,5.684341886e-14,2.842170943e-14,0,0,152.9901622,26467.23137,0,136.5,1877.120574,-2062362162,648726392,integrated_contract
35,2250,integrated_contract,integrated_contract,contract_c2250_h35,1,3.895245036e+10,3103409895,1460670894,16637298.69,3444310079,3530095651,-1119770711,3300000,0.9998150479,610.3417884,916324.5419,1175460.235,0.9128228459,15782417.73,0.1501371549,0,5.684341886e-14,2.842170943e-14,0,0,152.9901622,26467.23137,0,136.5,1877.120574,-2062362162,942591451,integrated_contract
35,2500,integrated_contract,integrated_contract,contract_c2500_h35,1,3.895245036e+10,3103409895,1460670894,16637298.69,3738175138,3823960710,-825905652.1,3300000,0.9998150479,610.3417884,916324.5419,1175460.235,0.9128228459,15782417.73,0.1501371549,0,5.684341886e-14,2.842170943e-14,0,0,152.9901622,26467.23137,0,136.5,1877.120574,-2062362162,1236456510,integrated_contract
